34|6|
36|1|
38|1|
40|2|
42|3|
44|6|
46|7|
48|1|
50|5|
66|2|
68|1|
70|6|
72|6|
74|8|
76|4|
80|10|
82|2|
84|10|
86|8|
88|3|
90|5|
92|10|
94|2|
96|174|
98|2|
122|16|
124|1|
130|5|
132|10|
134|12|
136|10|
138|5|
140|2|
142|2|
144|2|
146|5|
148|5|
152|4|
156|1|
158|2|
160|6|
208|3|
210|1|
212|6|
216|5|
232|5|
234|1|
236|2|
238|1|
240|6|
250|5|
256|5|
258|6|
260|1|
266|4|
268|12|
270|1|
272|152|
288|10|
290|5|
292|7|
294|5|
296|6|
302|2|
304|3|
306|18|
310|12|
312|3|
314|5|
316|20|
318|18|
334|1|
342|1|
344|3|
346|6|
348|2|
350|370|
352|30|
354|4|
356|10|
362|30|
364|3|
366|12|
370|2|
372|5|
374|1|
404|3|
440|1|
446|10|
448|8|
450|40|
452|5|
462|10|
464|2|
466|5|
468|4|
470|4|
472|2|
474|10|
476|1|
488|6|
492|5|
494|4|
496|4|
500|6|
502|10|
504|10|
506|24|
510|1|
512|1|
514|1|
516|1|
518|1|
520|1|
522|1|
526|1|
530|5|
532|5|
534|4|
536|10|
538|6|
556|1|
558|1|
560|1|
562|1|
564|1|
566|1|
568|1|
570|1|
572|1500|
574|15|
576|5|
582|1|
584|4|
586|12|
588|1|
590|10|
592|10|
594|8|
602|58|
604|2|
626|1|
628|1|
630|1|
632|1|
634|1|
636|1|
638|1|
640|1|
642|1|
644|1|
646|1|
662|4|
668|2|
672|10|
674|4|
678|2|
690|2|
692|5|
694|3|
700|2|
702|2|
704|15|
706|15|
708|15|
710|74|
724|8|
728|2|
730|3|
734|4|
754|1|
760|12|
766|4|
768|10|
770|2|
772|1|
788|5|
790|15|
794|10|
796|4|
798|2|
800|10|
802|10|
804|10|
806|10|
808|10|
810|10|
812|10|
816|10|
818|2|
838|4|
840|2|
844|2|
852|5|
864|10|
866|1|
870|324|
872|1|
876|216|
878|212|
882|6|
890|5|
892|5|
894|2|
896|2|
898|38|
900|30|
904|2|
906|28|
908|4|
910|50|
928|1|
930|4|
934|5|
946|3|
984|3|
1008|2|
1010|284|
1012|16|
1014|42|
1016|16|
1018|8|
1020|24|
1022|1|
1024|8|
1026|2|
1028|3|
1030|20|
1032|4|
1034|25|
1036|2|
1068|1000|
1070|10|
1072|10|
1074|10|
1076|10|
1078|10|
1080|10|
1082|3|
1084|3|
1086|3|
1092|5|
1100|2|
1116|6|
1118|3|
1120|5|
1122|2|
1124|4|
1126|2|
1140|2|
1142|5|
1144|3|
1146|3|
1148|2|
1150|10|
1156|1|
1158|1|
1166|54|
1168|4|
1170|280|
1172|4|
1178|20|
1180|2|
1182|5|
1184|6|
1186|6|
1188|4|
1190|32|
1192|6|
1206|200|
1210|30|
1214|24|
1216|10|
1218|72|
1230|4|
1232|38|
1242|4|
1244|5|
1246|5|
1248|3|
1250|220|
1252|200|
1254|84|
1272|22|
1274|100|
1282|2|
1284|4|
1286|4|
1312|10|
1314|12|
1316|3|
1318|3|
1320|22|
1330|2|
1332|2|
1334|6|
1336|14|
1338|6|
1340|3|
1342|6|
1350|14|
1356|2|
1364|10|
1376|4|
1378|58|
1380|35|
1382|5|
1384|10|
1386|30|
1388|25|
1392|3|
1394|54|
1400|20|
1408|3|
1410|5|
1412|5|
1414|4|
1416|10|
1418|5|
1420|2|
1442|2250|
1454|2|
1456|10|
1458|35000|
1460|15000|
1462|17000|
1464|3500|
1466|8000|
1468|5|
1470|1|
1476|5|
1478|5|
1490|350|
1502|25|
1504|5|
1506|1000|
1512|10|
1516|5|
1518|10|
1524|10|
1526|10|
1534|6458|
1540|12|
1542|6|
1544|10|
1546|40|
1548|5000|
1550|60|
1552|50|
1568|15|
1570|10|
1574|76|
1576|200|
1582|8|
1586|30|
1588|6|
1590|5|
1592|6|
1614|105000|
1638|12|
1642|6|
1644|5|
1648|14|
1650|6|
1652|8|
1666|15|
1668|10|
1670|2|
1672|25|
1674|30000|
1676|10|
1686|4|
1688|5|
1690|14|
1692|25|
1704|20|
1708|12|
1710|4|
1712|4|
1714|4|
1716|12|
1718|4|
1720|3|
1722|5|
1732|2|
1736|14|
1738|400|
1740|22|
1746|10|
1748|2|
1750|5|
1758|152|
1760|125|
1762|10|
1764|52|
1768|14|
1790|2750|
1798|10|
1800|5|
1806|60|
1810|2|
1812|75|
1814|75|
1816|75|
1818|75|
1820|75|
1822|15000|
1824|800|
1830|100|
1836|800|
1838|5|
1840|10|
1842|40|
1844|10|
1846|4|
1848|4|
1850|4|
1854|18|
1856|5|
1858|25|
1860|6|
1862|5|
1864|8|
1892|2|
1928|2|
1930|10|
1934|172|
1936|15|
1938|15|
1940|20|
1944|100|
1946|18|
1948|26|
1950|38|
1954|2|
1956|64|
1960|2|
1966|406|
1968|850|
1970|9074|
1972|4|
1974|62|
1978|28|
1980|2|
1994|5|
1998|138|
2004|25|
2006|30|
2010|1|
2032|840|
2040|30|
2042|25|
2044|168|
2046|1000|
2048|48|
2050|16|
2052|120|
2054|20|
2056|2|
2058|2|
2060|16|
2062|60|
2064|52|
2066|16|
2074|10|
2076|6|
2080|10|
2082|12|
2086|10|
2088|14|
2094|20|
2098|2230|
2100|10|
2104|8|
2106|12|
2110|8|
2112|8|
2114|6|
2116|8|
2122|8|
2124|8|
2126|6|
2128|8|
2130|10|
2132|7|
2140|10|
2148|10|
2158|8|
2160|100|
2164|2|
2166|4|
2168|10|
2178|20|
2182|5|
2184|5|
2186|5|
2188|5|
2190|5|
2192|5|
2194|25|
2196|25|
2198|25|
2200|25|
2202|25|
2204|25|
2212|55|
2214|22|
2218|98|
2222|28|
2224|74|
2230|10|
2234|2|
2240|10|
2254|20|
2256|16|
2258|26|
2260|34|
2262|14|
2264|28|
2266|55|
2268|40|
2284|250|
2286|16|
2370|50|
2372|50|
2374|250|
2376|250|
2378|50|
2384|4|
2386|25000|
2388|46|
2390|5|
2392|2000|
2394|1500|
2402|300|
2404|4|
2406|2|
2416|45|
2424|30|
2428|10|
2432|15|
2438|8|
2442|15|
2444|25|
2450|1000|
2454|75|
2456|75|
2458|75|
2460|75|
2464|5|
2466|15|
2468|25|
2470|100|
2472|25|
2474|20|
2476|75|
2482|50|
2484|24|
2486|20|
